actionview	4.2.0	http://rubyonrails.org	10606965
actionpack	4.2.0	http://www.rubyonrails.org	10606057
activejob	4.2.0	http://rubyonrails.org	10559348
railties	4.2.0	http://www.rubyonrails.org	10556096
actionmailer	4.2.0	http://www.rubyonrails.org	10541760
rake	0.9.2.2	https://github.com/ruby/rake	10537253
jquery-rails	4.0.3	https://github.com/rails/jquery-rails	10526842
binding_of_caller	0.7.2	http://github.com/banister/binding_of_caller	10430160
thor	0.14.6	http://whatisthor.com/	10355615
addressable	2.3.8	https://github.com/sporkmonger/addressable	10261091
rubyzip	1.1.7	http://github.com/rubyzip/rubyzip	10060283
sass-rails	5.0.1	https://github.com/rails/sass-rails	10027212
i18n	0.6.9	http://github.com/svenfuchs/i18n	9882040
mini_portile2	2.0.0	http://github.com/flavorjones/mini_portile	9873551
arel	6.0.3	https://github.com/rails/arel	9839055
rails-dom-testing	1.0.5	https://github.com/rails/rails-dom-testing	9814008
rails-html-sanitizer	1.0.1	https://github.com/rails/rails-html-sanitizer	9813391
uglifier	2.7.0	http://github.com/lautis/uglifier	9717150
rake	10.3.2	https://github.com/ruby/rake	9681336
hike	1.2.1	http://github.com/sstephenson/hike	9664434
thin	1.5.1	http://code.macournoyer.com/thin/	9636943
net-ssh	2.9.2	https://github.com/net-ssh/net-ssh	9619593
i18n	0.6.11	http://github.com/svenfuchs/i18n	9611920
bundler	1.3.5	http://bundler.io	9598188
execjs	2.3.0	https://github.com/rails/execjs	9557021
rails-dom-testing	1.0.7	https://github.com/rails/rails-dom-testing	9507281
warden	1.2.3	http://github.com/hassox/warden	9486169
yajl-ruby	1.1.0	http://github.com/brianmario/yajl-ruby	9435927
rack	1.4.1	http://rack.github.io/	9388199
globalid	0.3.0	http://www.rubyonrails.org	9349361
addressable	2.4.0	https://github.com/sporkmonger/addressable	9262951
jbuilder	2.2.6	https://github.com/rails/jbuilder	9260895
sass-rails	3.2.6	https://github.com/rails/sass-rails	9190502
coffee-script-source	1.9.0	http://jashkenas.github.com/coffee-script/	9169132
minitest	4.7.5	https://github.com/seattlerb/minitest	9114056
sass	3.4.11	http://sass-lang.com/	9044073
netrc	0.10.3	https://github.com/geemus/netrc	9037086
builder	3.1.4	http://onestepback.org	9004499
inflecto	0.0.2	https://github.com/mbj/inflecto	8904553
climate_control	0.0.3	https://github.com/thoughtbot/climate_control	8858626
tzinfo	0.3.37	http://tzinfo.github.io	8848536
rake	10.1.0	https://github.com/ruby/rake	8825036
ruby-hmac	0.4.0	http://ruby-hmac.rubyforge.org	8747750
diff-lcs	1.1.3	http://diff-lcs.rubyforge.org/	8714162
builder	3.0.0	http://onestepback.org	8711388
rake	0.8.7	https://github.com/ruby/rake	8706180
rack-ssl	1.3.3	https://github.com/josh/rack-ssl	8686212
sass	3.2.19	http://sass-lang.com/	8656372
arel	3.0.3	https://github.com/rails/arel	8582272
launchy	2.4.3	http://github.com/copiousfreetime/launchy	8567478
treetop	1.4.12	https://github.com/cjheath/treetop	8549959
netrc	0.11.0	https://github.com/geemus/netrc	8521849
highline	1.6.21	https://github.com/JEG2/highline	8428106
faraday_middleware	0.10.0	https://github.com/lostisland/faraday_middleware	8404110
treetop	1.4.10	https://github.com/cjheath/treetop	8369740
coffee-rails	4.0.1	https://github.com/rails/coffee-rails	8354462
colored	1.2	http://github.com/defunkt/colored	8321099
multi_json	1.11.0	http://github.com/intridea/multi_json	8160193
globalid	0.3.6	http://www.rubyonrails.org	8140604
net-sftp	2.1.2	https://github.com/net-ssh/net-sftp	8134619
faraday	0.9.1	https://github.com/lostisland/faraday	8108502
mail	2.4.4	https://github.com/mikel/mail	8107126
oauth	0.4.7		8071739
pry	0.10.1	http://pryrepl.org	8059517
rspec-expectations	3.4.0	https://github.com/rspec/rspec-expectations	7978698
mime-types	1.19	https://github.com/mime-types/ruby-mime-types/	7958397
chronic	0.10.2	http://github.com/mojombo/chronic	7936234
multipart-post	1.2.0	https://github.com/nicksieger/multipart-post	7932696
json	1.7.7	http://json-jruby.rubyforge.org/	7922122
rb-fsevent	0.9.4	http://rubygems.org/gems/rb-fsevent	7856076
rspec-support	3.4.1	https://github.com/rspec/rspec-support	7831851
highline	1.7.8	https://github.com/JEG2/highline	7779045
rubyzip	0.9.9	http://github.com/rubyzip/rubyzip	7777758
builder	2.1.2	http://onestepback.org	7758658
sass	3.4.22	http://sass-lang.com/	7726279
simplecov-html	0.10.0	https://github.com/colszowka/simplecov-html	7692923
json_pure	1.8.3	http://flori.github.com/json	7621621
ref	1.0.5	http://github.com/ruby-concurrency/ref	7533459
execjs	2.6.0	https://github.com/rails/execjs	7507099
addressable	2.3.6	https://github.com/sporkmonger/addressable	7502439
compass-import-once	1.0.5	https://github.com/chriseppstein/compass/tree/master/import-once	7493362
aws-sdk-v1	1.66.0	http://aws.amazon.com/sdkforruby	7485692
arel	5.0.1.20140414130214	https://github.com/rails/arel	7460344
rdoc	3.12	https://rdoc.github.io/rdoc	7444288
nokogiri	1.6.7.2	http://nokogiri.org	7402935
bcrypt-ruby	3.0.1	https://github.com/codahale/bcrypt-ruby	7323616
net-scp	1.0.4	https://github.com/net-ssh/net-scp	7318258
metaclass	0.0.4	http://github.com/floehopper/metaclass	7294732
rails-html-sanitizer	1.0.3	https://github.com/rails/rails-html-sanitizer	7288442
vegas	0.1.11	http://code.quirkey.com/vegas	7262220
i18n	0.6.0	http://github.com/svenfuchs/i18n	7245391
rainbow	2.0.0	https://github.com/sickill/rainbow	7233691
net-http-persistent	2.9.4	http://docs.seattlerb.org/net-http-persistent	7230058
bcrypt	3.1.10	https://github.com/codahale/bcrypt-ruby	7178201
mini_portile2	2.1.0	http://github.com/flavorjones/mini_portile	7146946
fssm	0.2.10	https://github.com/ttilley/fssm	7137922
uuidtools	2.1.4	https://github.com/sporkmonger/uuidtools	7132484
rack-ssl	1.3.2	https://github.com/josh/rack-ssl	7121376
crack	0.4.2	http://github.com/jnunemaker/crack	7070978
formatador	0.2.4	http://github.com/geemus/formatador	7024850
fastercsv	1.5.5	http://fastercsv.rubyforge.org	7013955
rake	10.5.0	https://github.com/ruby/rake	7012556
coffee-script-source	1.10.0	http://jashkenas.github.com/coffee-script/	7007076
bundler-unload	1.0.2	https://github.com/mpapis/bundler-unload	6999792
ffi	1.9.3	http://wiki.github.com/ffi/ffi	6963851
unf_ext	0.0.7.1	https://github.com/knu/ruby-unf_ext	6939563
